poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,lga_id
6.7,23.0,9.0,3.3,4.6,15.8,5.8,0.0,2.6,22.0,7.0,0.1,59680162B10012275275709
0.0,13.7,3.1,11.2,9.0,18.3,9.9,0.0,1.7,16.2,16.9,0.0,59680162B10083289652159
0.0,0.0,2.1,0.0,30.2,4.7,35.6,0.0,8.3,19.2,0.0,0.0,59680162B1032840889978
19.4,11.8,2.2,0.0,0.0,20.1,16.2,6.3,6.3,0.0,14.4,3.3,59680162B10585943230735
0.0,7.8,0.0,5.8,15.3,0.0,5.6,41.7,8.8,15.0,0.0,0.0,59680162B10627743467335
12.5,18.8,3.0,3.4,8.7,12.3,2.9,0.0,6.1,25.1,6.4,0.8,59680162B10831398447622
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59680162B10854216301983
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59680162B11018926765325
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,59680162B11133908611483
27.1,12.9,12.5,16.0,0.0,0.0,0.0,12.6,11.1,0.0,3.9,3.9,59680162B11164722545286
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59680162B11241948791785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,59680162B11400589438827
0.0,0.0,58.2,0.0,0.0,0.0,11.6,0.0,26.1,0.0,0.0,4.2,59680162B11436342937739
3.7,27.2,8.3,0.0,4.7,2.6,5.9,12.5,0.0,19.6,15.5,0.0,59680162B11671066128606
27.3,0.0,5.6,0.0,21.3,8.8,0.0,0.0,6.0,31.0,0.0,0.0,59680162B11863934245151
0.0,0.0,0.0,0.0,29.2,28.1,4.9,8.8,29.0,0.0,0.0,0.0,59680162B11957186029310
14.2,22.9,3.9,6.3,10.2,9.3,2.6,0.0,3.8,18.0,8.1,0.7,59680162B12426298681132
10.4,27.5,6.0,6.0,13.1,1.5,12.3,2.0,5.8,15.0,0.0,0.3,59680162B12574760496394
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,59680162B12689851933854
8.4,30.2,8.0,2.4,10.1,2.5,9.4,1.1,2.5,22.8,2.3,0.4,59680162B12953009585437
5.0,34.6,2.9,0.0,7.9,15.4,0.7,4.7,4.9,8.3,15.4,0.2,59680162B13073760931893
7.2,20.1,5.2,4.3,13.2,3.6,7.1,12.7,5.2,12.0,8.1,1.4,59680162B13157392837231
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59680162B1338580155275
17.8,23.0,5.9,7.4,7.4,2.9,10.5,8.4,0.0,7.3,9.4,0.0,59680162B13393519160177
9.2,10.9,4.3,4.1,6.9,6.6,5.8,6.6,1.0,32.1,10.8,1.6,59680162B13498430232382
