year,lga_id,lga,state,zone,lat,lon,pop_6_11,urban,poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,tasso_fuori_scuola,divario_genere_pp,tasso_fuori_scuola_f,tasso_fuori_scuola_m,target_oos_t1,bambini_fuori_scuola
2020,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,97.356,35.983,3.756,54.081,25.766,40.179,22.386,0,48.431,29.24,39.264,16.162,47.665,5.14,50.492,45.352,45.752,23740
2021,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,99.0,50.757,3.367,47.992,29.198,57.485,31.096,1,78.749,30.617,33.62,18.045,45.752,0.44,45.996,45.552,51.279,22787
2022,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,94.911,42.831,4.172,56.031,24.148,62.034,31.082,2,58.461,36.427,36.387,15.129,51.279,0.74,51.687,50.945,58.42,25539
2023,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,88.171,41.458,4.917,43.956,33.509,46.618,38.482,2,59.108,41.678,38.141,17.457,58.42,2.76,59.938,57.177,45.438,29096
2024,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,83.774,41.353,6.754,58.97,52.208,45.551,28.066,2,41.723,23.35,35.957,35.94,45.438,1.86,46.459,44.602,46.323,22630
2025,59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,81.453,36.257,5.81,58.328,40.445,22.447,25.829,0,66.342,40.067,50.898,23.062,46.323,-2.07,45.185,47.253,,23071
2020,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,86.781,32.73,3.63,65.226,35.844,26.521,26.469,1,53.756,48.482,64.597,10.153,47.927,2.0,49.027,47.027,50.032,29748
2021,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,97.57,30.293,4.032,37.082,34.277,46.626,15.402,3,56.201,51.134,23.655,44.742,50.032,3.03,51.696,48.671,54.673,31054
2022,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,80.583,33.736,3.892,66.473,30.99,20.504,28.226,1,58.53,40.909,42.93,12.141,54.673,1.86,55.698,53.835,52.297,33935
2023,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,84.511,45.574,3.457,64.202,22.679,38.771,28.36,3,69.698,30.991,33.27,17.507,52.297,3.02,53.957,50.94,41.302,32460
2024,59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,89.331,31.874,2.976,76.538,32.973,40.656,29.642,1,50.285,28.614,37.654,18.196,41.302,1.9,42.344,40.449,40.746,25636
