lga_id,lga,state,zone,lon,lat,area_km2
59680162B7891718144591,Eastern Obolo,Akwa Ibom,South South,7.6895,4.5237,158.8
59680162B22876202690460,Ekeremor,Bayelsa,South South,5.7116,4.949,1847.5
59680162B23543460253472,Degema,Rivers,South South,6.9004,4.5877,668.2
59680162B90577513466378,Andoni,Rivers,South South,7.3736,4.5125,343.8
59680162B58958286313368,Akpabuyo,Cross River,South South,8.531,4.9508,789.1
59680162B48458945930175,Oron,Akwa Ibom,South South,8.2358,4.8699,147.5
59680162B77398299052023,Bakassi,Cross River,South South,8.4716,4.7948,271.9
59680162B50827827535662,Calabar South,Cross River,South South,8.2944,4.9153,155.2
59680162B95559320678868,Udung Uko,Akwa Ibom,South South,8.2917,4.7402,66.4
59680162B89388744582495,Southern Ijaw,Bayelsa,South South,5.8795,4.7145,2713.7
59680162B76564266679550,Iwajowa,Oyo,South West,2.9983,7.989,2541.8
59680162B62922932811240,Ibarapa North,Oyo,South West,3.1763,7.6506,1269.5
59680162B90615098764032,Okrika,Rivers,South South,7.0722,4.6232,611.6
59680162B69679397491551,Imeko Afon,Ogun,South West,2.8455,7.609,1911.6
59680162B15406999540209,Ibeno,Akwa Ibom,South South,8.0953,4.5623,269.0
59680162B49362321791702,Nembe,Bayelsa,South South,6.2875,4.5125,842.4
59680162B44253410475450,Ilaje,Ondo,South West,4.7695,6.1863,1362.9
59680162B87797979497124,Brass,Bayelsa,South South,6.1022,4.4183,1322.6
59680162B93651715341205,Warri North,Delta,South South,5.266,5.8792,2209.0
59680162B74748273614391,Ese Odo,Ondo,South West,4.9557,6.2354,767.6
59680162B33993495702938,Jalingo,Taraba,North East,11.3405,8.9321,265.4
59680162B9558481059390,Burutu,Delta,South South,5.5558,5.215,1805.8
59680162B61760155439631,Girei,Adamawa,North East,12.4664,9.4229,1048.6
59680162B40051654285197,Yorro,Taraba,North East,11.5304,8.8804,1184.7
59680162B5954014037791,Ardo-Kola,Taraba,North East,11.1511,8.8466,2072.9
59680162B21673152212894,Yola North,Adamawa,North East,12.4521,9.2478,75.8
59680162B24147659958725,Yola South,Adamawa,North East,12.3588,9.2417,915.7
59680162B50421987640425,Mbo,Akwa Ibom,South South,8.2424,4.6545,299.2
59680162B35636298384814,Lau,Taraba,North East,11.4639,9.2035,1536.0
59680162B68133263226567,Ibarapa Central,Oyo,South West,3.2428,7.4236,436.0
59680162B29721937623471,Abeokuta North,Ogun,South West,3.1991,7.2453,792.7
59680162B83694422254145,Bonny,Rivers,South South,7.2515,4.4588,243.4
59680162B46174350236230,Warri South-West,Delta,South South,5.3481,5.5071,1286.8
59680162B21053239387442,Warri South,Delta,South South,5.5803,5.6224,547.3
59680162B59329233871626,Akuku Toru,Rivers,South South,6.6294,4.5703,1423.8
59680162B6205124943279,Isokan,Osun,South West,4.2094,7.3004,267.2
59680162B22633527707210,Irewole,Osun,South West,4.2306,7.3962,287.3
59680162B25032665557199,Essien Udim,Akwa Ibom,South South,7.6631,5.0981,300.2
59680162B70948216254513,Onna,Akwa Ibom,South South,7.8489,4.6469,128.6
59680162B44643250914735,Udenu,Enugu,South East,7.5599,6.8807,305.9
59680162B82820769085578,Ogu Bolo,Rivers,South South,7.2115,4.6175,184.9
59680162B14374608149112,Enugu South,Enugu,South East,7.516,6.4088,91.4
59680162B36804655757784,Ikot Ekpene,Akwa Ibom,South South,7.7099,5.2014,161.9
59680162B36558878931890,Nsit Ubium,Akwa Ibom,South South,7.9438,4.7575,206.5
59680162B91433810506609,Urue Offong/Oruko,Akwa Ibom,South South,8.1596,4.7306,116.9
59680162B70631413452384,Abak,Akwa Ibom,South South,7.7997,4.9888,169.5
59680162B97802053648263,Nkanu East,Enugu,South East,7.6736,6.3131,817.6
59680162B63088628372837,Igbo-Eze-South,Enugu,South East,7.365,6.949,167.3
59680162B36149280961759,Nsukka,Enugu,South East,7.3752,6.8321,587.5
59680162B30773772502776,Tai,Rivers,South South,7.2597,4.7565,164.8
