lga_id,lga,state,zone,intervento,nome,costo,eff_pp,bambini,ratio,bambini_eff,ordine
59680162B20432910054227,Goronyo,Sokoto,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,170528.0,4.05,431.32,0.0,211.35,3
59680162B95103667512911,Kebbe,Sokoto,North West,wash,Servizi igienici femminili separati + acqua,329925.0,3.64,800.57,0.0,560.4,2
59680162B87534880716336,Gashaka,Taraba,North East,almajiri,Integrazione scuola coranica-curriculum formale,413304.0,2.91,1003.26,0.0,702.29,2
59680162B51570410917379,Garko,Kano,North West,wash,Servizi igienici femminili separati + acqua,1302465.0,3.64,3163.21,0.0,2214.25,2
59680162B34961354684930,Maiyama,Kebbi,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,334928.0,3.89,815.04,0.0,570.53,2
59680162B7149387462115,Sabon Gari,Kaduna,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,359888.0,3.9,876.26,0.0,613.38,2
59680162B85415328791745,Batsari,Katsina,North West,wash,Servizi igienici femminili separati + acqua,527100.0,3.65,1283.81,0.0,898.67,2
59680162B11671066128606,Bogoro,Bauchi,North East,wash,Servizi igienici femminili separati + acqua,477780.0,3.67,1168.78,0.0,818.14,2
59680162B24502748844916,Bakura,Zamfara,North West,wash,Servizi igienici femminili separati + acqua,280755.0,3.67,687.05,0.0,480.93,2
59680162B98184498564097,Nassarawa,Kano,North West,wash,Servizi igienici femminili separati + acqua,441165.0,3.67,1079.97,0.0,755.98,2
59680162B63684780260143,Koko-Besse,Kebbi,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,828592.0,3.92,2031.83,0.0,1422.28,2
59680162B52281011363885,Gada,Sokoto,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,634784.0,3.93,1557.5,0.0,1090.25,2
59680162B14319741144045,Miga,Jigawa,North West,wash,Servizi igienici femminili separati + acqua,3156030.0,3.7,7786.74,0.0,5450.72,2
59680162B44120553871969,Sule Tankarkar,Jigawa,North West,alfabet,Alfabetizzazione femminile adulta e mobilitazione comunitaria,1768928.0,3.95,4364.6,0.0,3055.22,2
59680162B52658055469559,Malam Madori,Jigawa,North West,wash,Servizi igienici femminili separati + acqua,666855.0,3.71,1650.06,0.0,1155.04,2
59680162B24430291126178,Dawakin Kudu,Kano,North West,almajiri,Integrazione scuola coranica-curriculum formale,343452.0,2.97,850.66,0.0,595.46,2
59680162B7876035432306,Shanono,Kano,North West,almajiri,Integrazione scuola coranica-curriculum formale,586596.0,2.98,1457.88,0.0,1020.52,2
