lga_id,lga,state,zone,lat,lon,pop_6_11,urban,tasso_fuori_scuola,divario_genere_pp,oos_pred_2026,oos_pred_strutturale,risk_score,fascia,bambini_a_rischio,poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite
59680162B10012275275709,Gezawa,Kano,North West,12.062,8.731,49805,0,46.323,-2.07,49.134,48.247,81.9,Alto,24471,81.453,36.257,5.81,58.328,40.445,22.447,25.829,0,66.342,40.067,50.898,23.062
59680162B10083289652159,Kafur,Katsina,North West,11.624,7.688,62069,0,40.746,3.38,44.626,44.345,74.4,Alto,27699,72.445,49.637,3.663,71.963,35.111,26.441,28.098,1,58.873,30.533,36.548,29.749
59680162B1032840889978,Bokkos,Plateau,North Central,9.237,8.889,45035,0,33.258,1.17,26.856,28.381,44.8,Medio,12095,57.716,74.167,3.094,20.7,30.701,57.798,31.57,1,65.362,23.659,77.609,31.545
59680162B10585943230735,Gulani,Yobe,North East,10.918,11.642,73128,0,45.69,1.75,42.827,42.629,71.4,Alto,31319,89.098,52.178,3.393,47.563,52.383,26.534,32.61,3,76.628,12.399,43.567,11.029
59680162B10627743467335,Bursari,Yobe,North East,12.685,11.488,13733,1,46.172,0.35,40.843,40.929,68.1,Alto,5609,71.491,55.661,2.735,59.342,28.609,61.318,23.213,10,84.003,27.673,72.705,28.913
59680162B10831398447622,Wamakko,Sokoto,North West,13.097,5.106,60382,0,44.341,0.13,45.581,48.923,76.0,Alto,27523,87.942,40.661,3.886,58.468,31.204,30.83,22.372,1,86.235,43.24,52.397,19.407
59680162B10854216301983,Ndokwa East,Delta,South South,5.661,6.497,54056,1,20.359,-3.0,9.701,9.553,16.2,Basso,5244,59.151,98.785,2.259,46.671,83.605,70.231,0.5,0,68.987,0.0,89.194,41.507
59680162B11018926765325,Oluyole,Oyo,South West,7.219,3.88,77509,1,0.91,-1.78,9.438,9.588,15.7,Basso,7315,63.824,86.803,0.716,36.636,91.34,99.0,14.604,0,22.649,7.281,92.721,47.349
59680162B11133908611483,Nwangele,Imo,South East,5.701,7.126,48064,0,11.419,-0.42,13.577,13.628,22.6,Basso,6525,67.118,99.0,1.587,33.866,66.011,64.108,4.741,0,32.583,0.0,63.55,38.771
59680162B11164722545286,Mubi South,Adamawa,North East,10.179,13.321,65393,1,32.942,3.75,33.578,33.543,56.0,Medio,21958,84.576,56.225,4.318,64.12,63.956,74.261,14.166,3,73.56,14.564,64.46,16.216
59680162B11241948791785,Afijio,Oyo,South West,7.743,3.886,23529,0,16.877,0.94,15.096,14.305,25.2,Basso,3552,62.169,93.225,0.2,40.093,54.251,99.0,13.46,0,48.78,12.64,93.163,17.479
59680162B11400589438827,Awgu,Enugu,South East,6.153,7.453,56553,0,10.01,-0.79,12.653,12.274,21.1,Basso,7156,60.053,90.667,1.741,26.213,85.019,67.807,0.5,1,26.41,3.557,69.935,17.455
59680162B11436342937739,Biase,Cross River,South South,5.54,8.094,27272,0,22.407,-1.99,22.804,23.526,38.0,Basso,6219,73.831,74.471,3.076,41.227,64.899,69.917,18.946,1,52.512,11.818,91.585,23.452
59680162B11671066128606,Bogoro,Bauchi,North East,9.639,9.622,31852,0,51.37,3.69,48.15,45.399,80.2,Alto,15337,77.594,35.596,5.235,36.708,41.628,55.733,24.978,5,44.951,35.048,35.469,31.578
59680162B11863934245151,Ankpa,Kogi,North Central,7.504,7.603,40957,0,35.816,-0.97,30.128,31.459,50.2,Medio,12339,84.379,75.004,3.513,37.096,34.395,53.783,11.873,0,63.004,28.608,75.182,29.894
59680162B11957186029310,Pankshin,Plateau,North Central,9.312,9.393,18594,0,35.263,4.34,28.75,28.271,47.9,Medio,5346,73.551,63.65,2.895,34.297,41.686,51.589,19.639,2,74.358,6.991,87.743,34.652
59680162B12426298681132,Tsafe,Zamfara,North West,11.823,6.904,104703,0,51.956,2.89,47.648,50.218,79.4,Alto,49888,91.399,33.832,4.292,67.652,25.651,36.068,22.238,0,74.984,37.894,46.328,19.71
59680162B12574760496394,Ikara,Kaduna,North West,11.312,8.161,52512,1,39.479,-1.96,40.296,41.126,67.2,Medio,21160,80.911,43.398,4.053,58.981,33.247,58.993,27.718,2,71.135,26.93,68.772,22.701
59680162B12689851933854,Owan West,Edo,South South,6.934,5.89,42504,0,18.474,-0.32,19.981,18.884,33.3,Basso,8493,67.319,72.602,0.2,38.81,55.572,70.368,17.612,0,53.85,1.316,92.971,29.356
59680162B12953009585437,Babura,Jigawa,North West,12.605,8.827,17570,0,60.965,1.83,49.934,51.717,83.2,Alto,8773,84.723,23.7,5.88,56.849,24.889,54.256,31.864,2,67.4,44.278,61.537,20.958
59680162B13073760931893,Gombi,Adamawa,North East,10.203,12.497,15435,0,48.017,1.57,48.355,47.969,80.6,Alto,7464,79.261,25.69,3.802,47.056,33.901,25.204,19.568,3,78.072,25.857,32.816,22.54
59680162B13157392837231,Karim Lamido,Taraba,North East,9.153,10.862,46499,0,59.872,0.46,49.184,55.668,82.0,Alto,22870,84.873,31.522,5.208,64.646,10.542,49.29,30.555,7,92.281,34.363,41.273,13.253
59680162B1338580155275,Ogbomosho South,Oyo,South West,8.106,4.225,47112,0,20.689,-1.44,17.39,17.709,29.0,Basso,8193,64.181,75.422,2.048,27.576,70.97,90.94,13.141,1,42.853,17.082,94.08,30.099
59680162B13393519160177,Jahun,Jigawa,North West,12.064,9.558,52371,0,48.591,1.89,47.021,47.196,78.4,Alto,24625,92.117,38.355,4.637,67.032,35.645,54.715,30.444,4,50.771,24.67,47.197,36.803
59680162B13498430232382,Jega,Kebbi,North West,12.104,4.466,38309,0,58.814,3.3,50.878,52.095,84.8,Alto,19491,85.975,47.341,4.523,62.15,32.801,42.284,27.038,4,57.769,55.484,37.601,13.526
59680162B13650355505793,Tarka,Benue,North Central,7.588,8.862,13946,0,32.668,-0.08,30.79,29.968,51.3,Medio,4294,71.071,57.013,0.749,35.197,61.789,71.366,31.918,1,68.253,18.208,62.663,26.96
59680162B13670821264537,Karu,Nasarawa,North Central,8.98,7.736,30128,0,27.602,1.03,30.574,28.025,51.0,Medio,9211,63.231,66.663,3.899,44.383,38.362,67.358,14.4,0,53.982,23.367,80.096,17.108
59680162B14133510851755,Saki West,Oyo,South West,8.65,3.228,27330,0,10.7,-0.73,16.24,14.395,27.1,Basso,4438,57.558,87.253,0.939,34.742,64.149,66.159,16.093,1,50.762,1.942,92.547,47.194
59680162B14261849329471,Lapai,Niger,North Central,8.74,6.657,33327,1,15.283,-0.87,18.952,17.086,31.6,Basso,6316,58.926,77.476,1.921,34.497,64.494,86.219,6.495,2,58.797,13.746,85.421,31.831
59680162B14302921886514,Umuahia North,Abia,South East,5.59,7.494,80567,1,0.8,-1.36,6.159,2.361,10.3,Basso,4962,51.682,99.0,0.2,29.839,95.048,99.0,6.931,0,34.644,1.099,99.0,43.206
59680162B14319741144045,Miga,Jigawa,North West,12.233,9.697,210402,0,49.878,2.04,48.018,46.537,80.0,Alto,101030,93.955,59.04,2.523,38.758,33.91,34.743,31.906,1,58.492,47.891,43.219,25.334
59680162B14374608149112,Enugu South,Enugu,South East,6.409,7.516,64757,0,18.004,-0.46,14.508,15.04,24.2,Basso,9395,62.114,83.9,1.069,25.135,78.358,69.24,12.724,2,43.764,0.0,74.416,37.143
59680162B14396821090751,Esan Central,Edo,South South,6.706,6.208,8751,0,14.533,-1.32,19.131,20.328,31.9,Basso,1674,67.94,80.764,1.686,26.006,82.179,47.981,12.082,0,68.314,0.327,45.715,18.001
59680162B14415495238729,Ukum,Benue,North Central,7.584,9.659,79961,1,27.388,-0.25,24.754,28.595,41.3,Medio,19794,65.651,71.824,3.165,54.51,59.596,60.42,31.269,0,42.098,18.544,61.181,21.878
59680162B1443452948914,Wase,Plateau,North Central,9.037,10.257,18070,1,23.633,3.76,20.297,24.726,33.8,Basso,3668,66.269,55.395,2.585,43.227,48.093,79.302,17.909,1,54.659,0.166,68.83,24.308
59680162B14530293305891,Ihitte/Uboma,Imo,South East,5.646,7.384,39000,0,11.307,-1.7,11.188,12.181,18.6,Basso,4363,58.989,87.406,1.35,39.937,69.973,78.205,8.793,0,60.051,0.0,97.011,36.572
59680162B14541309037731,Wudil,Kano,North West,11.763,8.835,37479,0,40.089,1.77,43.923,42.974,73.2,Alto,16462,88.601,63.091,4.349,62.861,40.342,49.196,29.395,2,69.229,38.676,62.118,28.681
59680162B1470225488806,Fune,Yobe,North East,11.888,11.428,30938,1,34.776,0.78,34.792,33.419,58.0,Medio,10764,73.684,64.319,1.097,76.702,58.293,77.08,13.69,8,80.229,19.071,59.184,30.916
59680162B1513568068009,Surulere,Lagos,South West,6.49,3.344,82061,0,18.359,-2.84,14.502,13.863,24.2,Basso,11901,64.443,95.274,1.315,59.707,81.449,65.814,10.203,1,42.938,0.0,87.945,45.763
59680162B15165581574851,Toro,Bauchi,North East,10.35,9.312,15705,0,42.414,0.14,44.603,45.327,74.3,Alto,7005,81.351,47.083,5.243,70.246,50.54,36.469,30.963,3,64.987,24.423,42.513,22.323
59680162B15311652495769,Kaga,Borno,North East,11.599,12.532,58170,0,51.42,2.33,50.071,50.065,83.5,Alto,29126,92.056,41.839,2.921,46.357,18.484,28.822,35.888,4,75.85,25.355,43.751,18.32
59680162B15317000449503,Ifelodun,Kwara,North Central,8.626,5.182,25067,0,18.59,-0.43,26.15,27.256,43.6,Medio,6555,74.178,62.723,2.648,38.81,54.619,71.141,12.087,3,52.182,4.761,56.115,26.951
59680162B15406999540209,Ibeno,Akwa Ibom,South South,4.562,8.095,37538,0,15.7,-3.0,21.943,20.444,36.6,Basso,8237,80.763,90.134,1.891,40.476,94.522,41.819,14.1,0,62.421,3.95,62.726,35.09
59680162B15532351721986,Oji-River,Enugu,South East,6.159,7.31,19735,1,7.239,-0.83,6.934,5.094,11.6,Basso,1368,54.079,99.0,0.359,46.245,89.822,73.079,0.5,0,44.073,0.0,99.0,48.008
59680162B15951041920960,Ijumu,Kogi,North Central,7.848,5.899,23704,0,24.853,-0.75,27.276,23.597,45.5,Medio,6465,77.236,79.258,2.046,38.365,44.791,70.554,17.697,1,51.859,5.269,80.516,20.958
59680162B15998169506024,Uhunmwonde,Edo,South South,6.502,5.89,11294,0,15.494,1.37,18.305,19.605,30.5,Basso,2067,67.313,73.515,0.641,49.278,70.651,70.88,15.414,1,55.402,5.355,87.997,34.156
59680162B16294292751838,Khana,Rivers,South South,4.699,7.439,91885,0,22.275,-3.0,17.78,20.078,29.6,Basso,16337,67.511,79.56,2.224,42.997,81.727,76.373,17.227,2,76.953,0.0,70.627,28.205
59680162B1638752109374,Yunusari,Yobe,North East,13.116,11.769,45878,1,38.036,0.72,36.24,34.078,60.4,Medio,16626,69.625,65.585,2.535,62.328,48.303,55.336,22.148,6,78.603,19.378,74.738,19.856
59680162B16574916896740,Kaduna South,Kaduna,North West,10.498,7.402,3839,1,40.184,1.17,37.598,37.383,62.7,Medio,1443,82.271,39.418,2.615,73.13,42.911,90.141,22.942,1,76.212,18.424,55.312,22.388
59680162B16609728895319,Irepodun/Ifelodun,Ekiti,South West,7.712,5.276,79806,0,11.684,-0.51,11.795,14.095,19.7,Basso,9413,68.65,99.0,2.439,36.149,74.849,76.373,17.163,3,30.633,0.0,99.0,31.381
59680162B16701148271715,Aniocha North,Delta,South South,6.364,6.471,42701,1,15.31,-1.75,12.799,14.927,21.3,Basso,5465,57.476,79.171,2.165,51.342,74.527,99.0,8.995,1,67.547,0.0,74.407,22.248
59680162B16893313163973,Oguta,Imo,South East,5.673,6.779,55323,1,16.443,-0.13,7.37,9.954,12.3,Basso,4077,62.303,99.0,2.873,39.872,66.561,91.593,11.187,1,26.009,0.0,99.0,36.382
59680162B16963737840115,Orumba South,Anambra,South East,6.001,7.231,17722,1,0.8,-2.0,5.201,3.682,8.7,Basso,922,55.522,99.0,0.2,20.7,80.877,99.0,0.5,0,43.81,0.0,92.593,19.435
59680162B173222965225,Asari-Toru,Rivers,South South,4.749,6.841,11408,0,17.79,-0.86,19.824,20.637,33.0,Basso,2261,76.228,78.775,2.246,34.194,55.104,67.879,2.77,1,67.715,0.0,73.618,17.656
59680162B17489209533224,Jada,Adamawa,North East,8.718,12.416,39743,0,45.873,1.17,41.78,39.06,69.6,Alto,16605,90.897,52.079,5.121,38.111,39.597,44.618,24.604,1,52.721,15.2,57.476,15.683
59680162B17520648889441,Orhionmwon,Edo,South South,6.088,5.948,34977,0,19.496,0.94,18.137,19.384,30.2,Basso,6344,70.526,84.523,1.711,32.843,78.088,89.314,22.279,1,61.749,9.676,74.667,17.955
59680162B17555212909244,Ido-Osi,Ekiti,South West,7.855,5.172,62272,1,0.8,-2.45,3.964,4.069,6.6,Basso,2469,48.981,99.0,0.2,50.279,96.88,97.015,3.396,1,37.124,0.0,95.959,24.556
59680162B17719625697929,Surulere,Oyo,South West,8.095,4.411,26089,0,6.827,-0.56,14.848,11.472,24.7,Basso,3874,56.223,81.69,1.423,28.636,78.26,84.918,6.317,0,34.317,9.887,95.941,35.119
59680162B17778966736574,Ijebu East,Ogun,South West,6.811,4.22,43060,1,13.877,-1.94,5.745,8.478,9.6,Basso,2474,54.414,91.291,1.054,50.418,99.0,87.848,13.1,0,39.019,3.398,86.304,52.45
59680162B17793632216798,Ibadan North West,Oyo,South West,7.409,3.864,57959,1,1.976,-0.51,6.483,8.988,10.8,Basso,3758,63.442,78.575,0.805,26.18,78.81,99.0,1.236,0,36.561,0.0,92.432,27.274
59680162B17891920174093,Nsit Ibom,Akwa Ibom,South South,4.904,7.884,48544,0,21.521,2.06,19.637,24.74,32.7,Basso,9532,73.662,69.483,1.715,42.962,75.811,51.134,20.636,0,52.685,8.726,64.869,43.119
59680162B18196869714953,Anambra East,Anambra,South East,6.471,6.867,46103,1,2.385,-1.78,7.81,7.253,13.0,Basso,3601,60.83,99.0,2.651,25.819,86.487,92.197,8.687,0,42.562,0.0,90.881,32.495
59680162B18488232241930,Awka North,Anambra,South East,6.332,7.064,146899,1,0.8,-0.87,3.808,6.653,6.3,Basso,5594,56.084,91.703,0.328,39.905,87.98,99.0,7.477,0,51.628,0.0,99.0,30.293
59680162B18578493945657,Ezza South,Ebonyi,South East,6.113,7.986,31361,1,14.425,-2.2,9.011,11.798,15.0,Basso,2826,63.927,78.057,0.2,44.812,86.194,72.942,0.5,0,44.47,4.24,95.371,34.154
59680162B18672795330723,Askira Uba,Borno,North East,10.69,12.665,59481,0,45.011,3.6,47.934,43.78,79.9,Alto,28511,84.495,43.43,3.004,46.347,20.589,42.76,29.349,1,64.363,27.519,54.265,24.856
59680162B18924931802221,Oshodi/Isolo,Lagos,South West,6.537,3.312,35751,1,7.499,-3.0,4.583,5.713,7.6,Basso,1638,54.79,91.783,0.2,33.867,99.0,96.028,16.631,0,41.927,0.0,99.0,38.904
59680162B18977545928744,Udi,Enugu,South East,6.446,7.384,41229,1,0.8,-1.79,2.117,2.069,3.5,Basso,873,51.398,99.0,0.2,30.518,95.854,99.0,0.716,1,55.025,0.0,97.12,53.707
59680162B18982121994254,Wukari,Taraba,North East,7.952,9.721,81953,0,43.552,1.65,46.451,44.686,77.4,Alto,38068,84.343,37.866,5.03,40.78,24.431,57.359,16.411,4,72.13,28.927,55.613,13.356
59680162B1898458611197,Makoda,Kano,North West,12.428,8.43,51017,0,59.616,2.74,49.75,48.847,82.9,Alto,25381,89.085,30.876,6.326,55.101,32.599,37.746,26.273,2,59.373,31.176,57.152,24.38
59680162B18997887117478,Okobo,Akwa Ibom,South South,4.819,8.15,18472,1,16.034,-0.77,11.942,13.106,19.9,Basso,2206,63.021,99.0,0.2,40.902,49.577,96.425,19.34,1,58.508,0.0,85.693,26.073
59680162B19163785016026,Garun Malam,Kano,North West,11.658,8.401,47566,0,50.231,-0.1,49.925,46.742,83.2,Alto,23747,83.432,37.27,3.095,76.097,48.215,63.065,35.97,1,56.259,40.314,48.992,15.59
59680162B19335323694639,Yakurr,Cross River,South South,5.822,8.174,46216,0,24.634,-1.18,16.945,21.131,28.2,Basso,7831,74.937,70.385,2.536,33.488,57.917,72.13,17.589,1,32.556,0.0,93.307,17.636
59680162B1935816053049,Ofu,Kogi,North Central,7.324,7.041,62057,0,32.801,-0.99,28.248,27.652,47.1,Medio,17530,62.848,61.818,5.021,45.994,37.736,54.08,12.444,1,49.24,7.562,80.156,25.576
59680162B19433829654146,Mashi,Katsina,North West,13.134,8.014,34912,1,43.451,2.04,39.654,39.099,66.1,Medio,13844,67.701,33.202,4.958,60.523,54.655,77.179,27.864,2,57.139,32.538,67.863,15.458
59680162B19467626863877,Ikenne,Ogun,South West,6.887,3.688,50574,1,3.194,0.37,9.561,5.224,15.9,Basso,4836,54.194,81.57,0.2,22.151,97.608,99.0,4.308,0,45.163,0.0,91.914,39.402
59680162B19484855656708,Baure,Katsina,North West,12.799,8.783,29426,0,46.815,2.99,52.972,50.401,88.3,Alto,15588,95.37,34.147,4.927,60.623,42.717,9.5,23.718,0,81.632,30.447,42.959,18.637
59680162B19485775159758,Ipokia,Ogun,South West,6.658,2.79,33530,0,18.708,-2.17,12.702,13.867,21.2,Basso,4259,60.202,82.252,2.396,43.643,99.0,68.878,12.628,0,38.9,10.372,99.0,41.485
59680162B19523503473687,Auyo,Jigawa,North West,12.332,9.922,22555,0,55.136,3.64,48.802,48.977,81.3,Alto,11007,83.319,42.652,4.014,63.932,34.028,34.876,40.804,0,66.929,44.976,59.781,19.328
59680162B19536521240899,Gaya,Kano,North West,11.82,9.022,47839,0,57.056,1.85,51.303,51.838,85.5,Alto,24543,90.722,43.65,4.758,68.093,31.892,39.361,37.375,1,71.163,42.066,41.092,15.227
59680162B19549725656045,Ebonyi,Ebonyi,South East,6.541,8.127,37513,0,13.948,-1.96,11.107,12.511,18.5,Basso,4167,59.448,91.351,0.721,29.972,55.695,95.793,12.921,2,30.691,0.0,84.701,26.56
59680162B19874744513454,Kunchi,Kano,North West,12.468,8.259,108407,0,55.986,1.91,50.187,48.631,83.6,Alto,54406,94.649,41.086,5.503,58.099,20.606,13.291,20.338,0,63.448,29.17,52.544,29.657
59680162B20002653395444,Gumel,Jigawa,North West,12.626,9.406,89821,0,50.509,0.88,50.854,52.565,84.8,Alto,45677,87.13,31.344,4.947,71.316,32.843,44.901,33.207,2,66.706,47.221,59.939,16.492
59680162B20020413332718,Mafa,Borno,North East,11.953,13.565,58833,1,50.53,0.64,41.616,45.314,69.4,Alto,24484,87.998,48.275,3.791,47.021,29.936,39.931,24.239,6,76.81,29.221,61.558,15.217
59680162B20086286793745,Kiru,Kano,North West,11.559,8.096,48355,0,53.942,-0.21,49.255,45.941,82.1,Alto,23817,86.464,35.416,5.37,64.176,47.511,60.174,24.672,2,70.828,40.488,66.867,26.016
59680162B2017456399117,Obowo,Imo,South East,5.555,7.362,66837,1,7.088,-0.39,8.473,8.629,14.1,Basso,5663,68.23,90.447,0.2,39.666,82.426,98.093,6.699,1,32.876,0.0,99.0,37.969
59680162B20254719160886,Sabuwa,Katsina,North West,11.343,7.075,9541,1,54.708,0.76,41.13,39.891,68.5,Alto,3924,75.105,42.485,2.534,71.566,33.179,37.279,28.028,0,66.935,26.234,76.7,22.666
59680162B20372712773645,Oturkpo,Benue,North Central,7.292,8.128,49294,0,26.548,-1.31,27.552,28.539,45.9,Medio,13581,71.793,47.135,2.931,42.039,61.245,56.713,16.708,2,44.962,4.294,84.271,14.497
59680162B20429116941940,Atakunmosa West,Osun,South West,7.601,4.617,89955,0,18.487,-1.7,11.202,17.373,18.7,Basso,10077,60.247,88.493,2.906,36.828,54.288,66.368,7.947,1,34.772,1.89,71.768,25.411
59680162B20432910054227,Goronyo,Sokoto,North West,13.346,5.757,10658,0,44.504,-0.23,47.148,48.332,78.6,Alto,5025,80.489,27.575,3.021,32.874,31.873,47.614,38.364,1,72.181,35.603,30.569,21.49
59680162B20780696540875,Maiduguri,Borno,North East,11.832,13.135,54616,0,43.246,1.38,45.381,46.014,75.6,Alto,24785,90.915,46.288,4.338,75.177,47.934,68.778,22.024,6,78.75,27.475,46.599,18.319
59680162B21010588258079,Tambuwal,Sokoto,North West,12.394,4.944,48208,0,59.759,0.17,48.612,51.848,81.0,Alto,23435,85.115,45.404,6.203,75.529,39.758,28.046,31.281,3,74.328,45.21,49.864,32.413
59680162B21053239387442,Warri South,Delta,South South,5.622,5.58,39987,1,11.715,-3.0,12.755,12.508,21.3,Basso,5100,60.568,99.0,1.251,38.172,64.644,91.052,18.727,0,68.825,0.0,74.022,37.406
59680162B21067903036313,Patani,Delta,South South,5.174,6.094,45191,1,11.289,-2.68,13.988,14.31,23.3,Basso,6321,65.468,99.0,1.681,35.065,64.0,77.353,8.959,2,79.26,0.0,76.835,34.247
59680162B21074533395167,Ikono,Akwa Ibom,South South,5.17,7.806,36586,0,18.932,-2.21,19.597,18.305,32.7,Basso,7170,69.108,84.18,0.612,27.706,63.888,68.027,13.806,0,67.147,7.25,76.362,30.54
59680162B21108805782195,Akure South,Ondo,South West,7.184,5.214,30304,0,15.179,-1.99,11.602,12.8,19.3,Basso,3516,58.889,81.702,3.097,42.281,83.687,99.0,16.218,0,30.949,5.636,99.0,32.083
59680162B21216344152794,Yewa North,Ogun,South West,7.09,2.944,19816,1,10.038,-2.9,7.128,7.72,11.9,Basso,1412,51.616,99.0,2.52,37.974,99.0,96.686,4.661,3,51.096,12.095,99.0,43.608
59680162B21365932465956,Ukwuani,Delta,South South,5.852,6.254,15862,1,12.696,-3.0,10.529,11.29,17.5,Basso,1670,55.433,97.228,0.2,49.967,53.856,78.746,11.524,1,45.7,0.0,98.113,25.394
59680162B21498960785654,Orlu,Imo,South East,5.818,7.027,50678,1,8.921,-3.0,4.994,6.339,8.3,Basso,2531,49.225,99.0,2.272,47.508,83.994,99.0,11.932,0,35.071,0.0,99.0,23.465
59680162B21673152212894,Yola North,Adamawa,North East,9.248,12.452,30115,1,33.866,3.73,37.373,36.338,62.3,Medio,11255,83.538,44.54,1.21,57.597,52.311,63.209,20.625,2,76.637,19.263,57.429,24.578
59680162B21692666530817,Safana,Katsina,North West,12.521,7.231,40019,1,29.917,1.42,35.997,37.098,60.0,Medio,14406,80.008,38.405,2.958,71.243,41.308,72.853,20.607,1,66.161,16.181,63.656,21.266
59680162B21986463159939,Oyo East,Oyo,South West,7.876,4.055,128090,1,6.375,-1.69,10.704,11.181,17.8,Basso,13711,45.727,81.661,1.617,29.954,64.269,92.969,11.521,1,32.649,2.842,85.953,25.102
59680162B22484757822523,Mubi North,Adamawa,North East,10.357,13.35,47532,1,45.946,1.65,41.621,39.119,69.4,Alto,19783,79.899,44.513,2.029,74.393,32.196,81.067,21.495,5,85.698,21.716,75.171,20.423
59680162B22561739962750,Ibesikpo Asutan,Akwa Ibom,South South,4.896,7.967,48680,0,25.783,-0.69,17.377,18.778,29.0,Basso,8459,58.144,88.899,2.975,47.169,60.528,65.99,15.42,1,67.754,1.996,78.94,24.337
59680162B22633527707210,Irewole,Osun,South West,7.396,4.231,62496,1,0.8,-3.0,6.776,2.31,11.3,Basso,4235,41.754,97.354,0.2,39.046,88.149,99.0,2.155,1,18.981,0.0,99.0,14.282
59680162B2266540401620,Ifo,Ogun,South West,6.77,3.162,16855,1,8.555,-0.25,5.88,9.279,9.8,Basso,991,53.38,76.977,2.1,53.737,76.392,99.0,1.494,0,32.465,0.0,99.0,41.854
59680162B22876202690460,Ekeremor,Bayelsa,South South,4.949,5.712,43125,1,16.16,-1.7,12.298,14.5,20.5,Basso,5304,59.166,83.752,1.344,37.901,72.422,74.5,3.058,2,65.052,0.804,81.389,14.561
59680162B2298430697284,Idanre,Ondo,South West,6.976,5.254,17218,1,0.8,0.36,5.214,6.311,8.7,Basso,898,46.408,99.0,0.2,33.92,85.475,93.83,14.189,1,49.847,2.762,89.668,29.529
59680162B23155718085687,Mokwa,Niger,North Central,9.196,5.261,11507,1,17.771,-2.63,16.709,17.239,27.8,Basso,1923,62.619,87.221,3.476,46.477,57.575,70.431,0.5,2,62.917,0.0,73.114,27.842
59680162B23369049466603,Ideato South,Imo,South East,5.792,7.16,79179,1,4.979,-3.0,5.205,4.648,8.7,Basso,4121,61.02,99.0,0.2,39.537,99.0,99.0,0.5,0,53.187,0.0,96.267,19.088
59680162B2351853936587,Ideato North,Imo,South East,5.852,7.116,197941,0,5.629,0.35,16.14,10.096,26.9,Basso,31948,70.687,99.0,1.818,31.404,92.865,91.417,8.664,0,28.326,1.413,84.195,24.508
59680162B23543460253472,Degema,Rivers,South South,4.588,6.9,26973,1,13.048,-1.09,10.658,8.379,17.8,Basso,2875,66.005,99.0,1.219,28.363,66.052,99.0,6.628,0,57.854,0.0,99.0,24.445
59680162B23595872951211,Shagari,Sokoto,North West,12.543,5.072,34442,0,43.409,0.37,47.753,46.114,79.6,Alto,16447,87.683,41.205,2.399,51.17,26.849,23.565,25.517,4,57.184,22.723,43.403,33.178
59680162B23598949397905,Esan North-East,Edo,South South,6.782,6.42,45524,0,14.325,0.73,16.603,17.19,27.7,Basso,7559,71.777,86.717,1.981,37.147,67.212,69.439,2.427,3,46.831,0.0,77.515,37.653
59680162B23671729796425,Iwo,Osun,South West,7.677,4.13,28435,0,14.459,0.5,14.396,15.243,24.0,Basso,4093,65.138,87.066,4.203,30.936,72.987,83.534,8.655,0,42.281,13.545,99.0,35.596
59680162B23843497952419,Ido,Oyo,South West,7.476,3.716,40763,1,6.41,1.47,8.732,5.702,14.6,Basso,3559,51.177,91.017,0.634,45.81,91.31,99.0,0.5,0,25.045,0.0,80.549,24.003
59680162B23949108035203,Ajaokuta,Kogi,North Central,7.504,6.503,30323,0,29.82,-1.28,30.577,31.241,51.0,Medio,9272,70.157,67.979,3.815,40.201,41.867,70.906,19.022,3,74.028,15.404,55.214,25.628
59680162B23952502219543,Biu,Borno,North East,10.829,12.061,46745,1,38.534,2.08,42.593,43.111,71.0,Alto,19910,82.393,47.057,3.956,53.07,49.645,84.914,17.403,11,65.614,33.901,49.687,26.331
