poverta_minorile,alfab_femminile,distanza_scuola_km,rapporto_alunni_ins,servizi_igienici_f,accesso_stradale,lavoro_minorile,eventi_conflitto,shock_climatico,scuola_coranica,acqua_potabile,spesa_edu_procapite,lga_id
1.201,4.121,1.609,0.599,0.826,2.827,1.038,-0.933,0.473,3.944,1.262,0.02,59680162B10012275275709
-0.251,1.901,0.423,1.55,1.252,2.536,1.373,-0.357,0.242,2.243,2.335,-0.2,59680162B10083289652159
-2.626,-2.167,0.109,-2.027,1.604,0.247,1.887,-0.357,0.443,1.017,-0.736,-0.259,59680162B1032840889978
2.434,1.48,0.274,-0.152,-0.127,2.529,2.041,0.795,0.792,-0.991,1.81,0.415,59680162B10585943230735
-0.405,0.902,-0.089,0.67,1.771,-0.01,0.651,4.826,1.021,1.733,-0.369,-0.172,59680162B10627743467335
2.247,3.39,0.546,0.609,1.564,2.216,0.526,-0.357,1.09,4.51,1.15,0.14,59680162B10831398447622
-2.395,-6.251,-0.352,-0.215,-2.619,-0.661,-2.709,-0.933,0.555,-3.203,-1.602,-0.586,59680162B10854216301983
-1.641,-4.263,-1.204,-0.915,-3.237,-2.761,-0.622,-0.933,-0.881,-1.904,-1.866,-0.777,59680162B11018926765325
-1.11,-6.287,-0.723,-1.108,-1.215,-0.214,-2.081,-0.933,-0.573,-3.203,0.316,-0.496,59680162B11133908611483
1.705,0.809,0.785,1.003,-1.051,-0.955,-0.687,0.795,0.697,-0.605,0.248,0.245,59680162B11164722545286
-1.908,-5.329,-1.488,-0.673,-0.276,-2.761,-0.792,-0.933,-0.071,-0.948,-1.899,0.203,59680162B11241948791785
-2.249,-4.904,-0.638,-1.642,-2.732,-0.484,-2.709,-0.357,-0.765,-2.569,-0.162,0.204,59680162B11400589438827
-0.028,-2.218,0.099,-0.594,-1.126,-0.638,0.02,-0.357,0.045,-1.095,-1.781,0.007,59680162B11436342937739
0.579,4.231,1.291,-0.91,0.732,0.398,0.912,1.946,-0.19,3.049,2.416,-0.26,59680162B11671066128606
1.673,-2.306,0.341,-0.883,1.309,0.54,-1.026,-0.933,0.37,1.9,-0.554,-0.204,59680162B11863934245151
-0.073,-0.423,-0.001,-1.078,0.727,0.7,0.122,0.219,0.722,-1.956,-1.494,-0.361,59680162B11957186029310
2.805,4.523,0.771,1.249,2.007,1.833,0.507,-0.933,0.741,3.557,1.604,0.13,59680162B12426298681132
1.114,2.936,0.639,0.644,1.401,0.16,1.317,0.219,0.622,1.601,-0.075,0.032,59680162B12574760496394
-1.078,-1.908,-1.488,-0.763,-0.382,-0.671,-0.178,-0.933,0.086,-2.968,-1.885,-0.187,59680162B12689851933854
1.728,6.204,1.647,0.496,2.068,0.506,1.93,0.219,0.506,4.695,0.466,0.089,59680162B12953009585437
0.848,5.874,0.5,-0.188,1.348,2.626,0.112,0.795,0.837,1.409,2.614,0.037,59680162B13073760931893
1.753,4.906,1.276,1.04,3.213,0.868,1.737,3.098,1.278,2.927,1.982,0.342,59680162B13157392837231
-1.584,-2.376,-0.468,-1.547,-1.611,-2.172,-0.839,-0.357,-0.255,-0.156,-1.968,-0.211,59680162B1338580155275
2.921,3.773,0.961,1.206,1.209,0.472,1.72,1.371,-0.009,1.198,1.539,-0.431,59680162B13393519160177
1.93,2.282,0.898,0.865,1.436,1.379,1.217,1.371,0.208,6.694,2.256,0.333,59680162B13498430232382
-0.473,0.678,-1.185,-1.015,-0.878,-0.743,1.938,-0.357,0.533,0.045,0.382,-0.108,59680162B13650355505793
-1.737,-0.923,0.554,-0.374,0.992,-0.451,-0.653,-0.933,0.09,0.965,-0.922,0.215,59680162B13670821264537
-2.652,-4.338,-1.081,-1.047,-1.066,-0.363,-0.402,-0.357,-0.01,-2.857,-1.853,-0.772,59680162B14133510851755
-2.431,-2.716,-0.538,-1.064,-1.094,-1.828,-1.822,0.219,0.239,-0.751,-1.32,-0.268,59680162B14261849329471
-3.599,-6.287,-1.488,-1.389,-3.533,-2.761,-1.757,-0.933,-0.509,-3.007,-2.335,-0.641,59680162B14302921886514
